TIME,VASSETID,NRUNHOURDAY
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.004,15.993
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.004,23.996
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.004,23.998
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.004,23.997
2020-11-30T17:00:00Z,ACO.P1.A4.IT000.004,23.998
2020-12-01T17:00:00Z,ACO.P1.A4.IT000.004,23.997
2020-12-02T17:00:00Z,ACO.P1.A4.IT000.004,23.998
2020-12-03T17:00:00Z,ACO.P1.A4.IT000.004,7.999
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.005,9.633
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.005,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.005,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.005,14.605
2020-11-30T17:00:00Z,ACO.P1.A4.IT000.005,11.936
2020-12-01T17:00:00Z,ACO.P1.A4.IT000.005,11.467
2020-12-02T17:00:00Z,ACO.P1.A4.IT000.005,18.299
2020-12-03T17:00:00Z,ACO.P1.A4.IT000.005,8.005
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.006,0.0
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.006,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.006,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.006,6.958
2020-11-30T17:00:00Z,ACO.P1.A4.IT000.006,9.34
2020-12-01T17:00:00Z,ACO.P1.A4.IT000.006,7.317
2020-12-02T17:00:00Z,ACO.P1.A4.IT000.006,3.283
2020-12-03T17:00:00Z,ACO.P1.A4.IT000.006,0.0
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.007,8.046
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.007,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.007,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.007,1.871
2020-11-30T17:00:00Z,ACO.P1.A4.IT000.007,1.668
2020-12-01T17:00:00Z,ACO.P1.A4.IT000.007,1.862
2020-12-02T17:00:00Z,ACO.P1.A4.IT000.007,1.835
2020-12-03T17:00:00Z,ACO.P1.A4.IT000.007,0.0
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.008,9.907
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.008,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.008,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.008,9.383
2020-11-30T17:00:00Z,ACO.P1.A4.IT000.008,9.461
2020-12-01T17:00:00Z,ACO.P1.A4.IT000.008,9.942
2020-12-02T17:00:00Z,ACO.P1.A4.IT000.008,10.585
2020-12-03T17:00:00Z,ACO.P1.A4.IT000.008,0.0
2020-11-26T17:00:00Z,ACO.P1.A4.SI000.009,15.993
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.009,7.668
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.009,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.009,11.05
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.009,12.011
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.009,11.192
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.009,10.878
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.009,1.675
2020-11-26T17:00:00Z,ACO.P1.A4.SI000.010,15.989
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.010,7.669
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.010,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.010,11.054
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.010,17.581
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.010,17.693
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.010,17.337
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.010,8.001
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.011,1.648
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.011,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.011,11.061
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.011,0.0
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.011,0.0
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.011,2.528
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.011,1.665
2020-11-26T17:00:00Z,ACO.P1.A4.SI000.012,15.992
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.012,7.668
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.012,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.012,11.07
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.012,12.011
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.012,17.504
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.012,17.261
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.012,1.675
2020-11-26T17:00:00Z,ACO.P1.A4.SI000.013,14.967
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.013,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.013,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.013,17.215
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.013,22.561
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.013,0.0
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.013,13.848
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.013,1.123
2020-11-26T17:00:00Z,ACO.P1.A4.SI000.014,14.967
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.014,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.014,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.014,17.212
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.014,22.564
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.014,14.517
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.014,17.081
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.014,7.951
2020-11-26T17:00:00Z,ACO.P1.A4.SI000.015,0.0
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.015,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.015,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.015,17.212
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.015,5.417
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.015,16.034
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.015,22.824
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.015,6.0
2020-11-26T17:00:00Z,ACO.P1.A4.SI000.016,0.0
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.016,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.016,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.016,14.788
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.016,12.725
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.016,13.488
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.016,13.91
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.016,1.127
2020-11-26T17:00:00Z,ACO.P1.A4.SI000.017,14.967
2020-11-27T17:00:00Z,ACO.P1.A4.SI000.017,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.SI000.017,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.SI000.017,17.204
2020-11-30T17:00:00Z,ACO.P1.A4.SI000.017,22.561
2020-12-01T17:00:00Z,ACO.P1.A4.SI000.017,14.518
2020-12-02T17:00:00Z,ACO.P1.A4.SI000.017,13.861
2020-12-03T17:00:00Z,ACO.P1.A4.SI000.017,0.0
2020-11-26T17:00:00Z,ACO.P1.B1.SECP1.035,9.966
2020-11-27T17:00:00Z,ACO.P1.B1.SECP1.035,11.969
2020-11-28T17:00:00Z,ACO.P1.B1.SECP1.035,11.966
2020-11-29T17:00:00Z,ACO.P1.B1.SECP1.035,11.966
2020-11-30T17:00:00Z,ACO.P1.B1.SECP1.035,11.969
2020-12-01T17:00:00Z,ACO.P1.B1.SECP1.035,9.756
2020-12-02T17:00:00Z,ACO.P1.B1.SECP1.035,11.969
2020-12-03T17:00:00Z,ACO.P1.B1.SECP1.035,1.999
2020-11-26T17:00:00Z,ACO.P1.B1.SECP1.036,15.986
2020-11-27T17:00:00Z,ACO.P1.B1.SECP1.036,23.997
2020-11-28T17:00:00Z,ACO.P1.B1.SECP1.036,23.997
2020-11-29T17:00:00Z,ACO.P1.B1.SECP1.036,23.996
2020-11-30T17:00:00Z,ACO.P1.B1.SECP1.036,17.765
2020-12-01T17:00:00Z,ACO.P1.B1.SECP1.036,17.499
2020-12-02T17:00:00Z,ACO.P1.B1.SECP1.036,24.0
2020-12-03T17:00:00Z,ACO.P1.B1.SECP1.036,7.164
2020-11-26T17:00:00Z,ACO.P1.B1.SECP1.038,0.0
2020-11-27T17:00:00Z,ACO.P1.B1.SECP1.038,0.0
2020-11-28T17:00:00Z,ACO.P1.B1.SECP1.038,0.0
2020-11-29T17:00:00Z,ACO.P1.B1.SECP1.038,0.0
2020-11-30T17:00:00Z,ACO.P1.B1.SECP1.038,0.0
2020-12-01T17:00:00Z,ACO.P1.B1.SECP1.038,0.48
2020-12-02T17:00:00Z,ACO.P1.B1.SECP1.038,0.0
2020-12-03T17:00:00Z,ACO.P1.B1.SECP1.038,0.0
2020-11-26T17:00:00Z,ACO.P1.B1.SECP1.039,15.986
2020-11-27T17:00:00Z,ACO.P1.B1.SECP1.039,23.996
2020-11-28T17:00:00Z,ACO.P1.B1.SECP1.039,23.999
2020-11-29T17:00:00Z,ACO.P1.B1.SECP1.039,23.996
2020-11-30T17:00:00Z,ACO.P1.B1.SECP1.039,23.998
2020-12-01T17:00:00Z,ACO.P1.B1.SECP1.039,23.995
2020-12-02T17:00:00Z,ACO.P1.B1.SECP1.039,24.0
2020-12-03T17:00:00Z,ACO.P1.B1.SECP1.039,8.005
2020-11-26T17:00:00Z,ACO.P1.B2.MDE00.005,7.427
2020-11-29T17:00:00Z,ACO.P1.B2.MDE00.005,1.738
2020-11-30T17:00:00Z,ACO.P1.B2.MDE00.005,3.845
2020-12-01T17:00:00Z,ACO.P1.B2.MDE00.005,6.271
2020-12-02T17:00:00Z,ACO.P1.B2.MDE00.005,11.552
2020-11-26T17:00:00Z,ACO.P1.B2.MDE00.034,0.0
2020-11-27T17:00:00Z,ACO.P1.B2.MDE00.034,0.0
2020-11-28T17:00:00Z,ACO.P1.B2.MDE00.034,0.0
2020-11-29T17:00:00Z,ACO.P1.B2.MDE00.034,0.0
2020-11-30T17:00:00Z,ACO.P1.B2.MDE00.034,15.129
2020-12-01T17:00:00Z,ACO.P1.B2.MDE00.034,16.678
2020-12-02T17:00:00Z,ACO.P1.B2.MDE00.034,0.0
2020-12-03T17:00:00Z,ACO.P1.B2.MDE00.034,0.0
2020-11-27T17:00:00Z,ACO.P1.B2.MDE00.035,1.395
2020-11-28T17:00:00Z,ACO.P1.B2.MDE00.035,0.0
2020-11-29T17:00:00Z,ACO.P1.B2.MDE00.035,12.025
2020-11-30T17:00:00Z,ACO.P1.B2.MDE00.035,17.323
2020-12-01T17:00:00Z,ACO.P1.B2.MDE00.035,18.079
2020-12-02T17:00:00Z,ACO.P1.B2.MDE00.035,11.572
2020-12-03T17:00:00Z,ACO.P1.B2.MDE00.035,1.298
2020-11-26T17:00:00Z,ACO.P1.B2.MDE00.036,11.047
2020-11-27T17:00:00Z,ACO.P1.B2.MDE00.036,1.413
2020-11-28T17:00:00Z,ACO.P1.B2.MDE00.036,0.0
2020-11-29T17:00:00Z,ACO.P1.B2.MDE00.036,11.997
2020-11-30T17:00:00Z,ACO.P1.B2.MDE00.036,17.323
2020-12-01T17:00:00Z,ACO.P1.B2.MDE00.036,18.072
2020-12-02T17:00:00Z,ACO.P1.B2.MDE00.036,9.111
2020-12-03T17:00:00Z,ACO.P1.B2.MDE00.036,1.295
2020-11-26T17:00:00Z,ACO.P1.B2.SECP1.030,3.874
2020-11-27T17:00:00Z,ACO.P1.B2.SECP1.030,7.637
2020-11-28T17:00:00Z,ACO.P1.B2.SECP1.030,9.522
2020-11-29T17:00:00Z,ACO.P1.B2.SECP1.030,10.175
2020-11-30T17:00:00Z,ACO.P1.B2.SECP1.030,11.967
2020-12-01T17:00:00Z,ACO.P1.B2.SECP1.030,11.967
2020-12-02T17:00:00Z,ACO.P1.B2.SECP1.030,11.17
2020-12-03T17:00:00Z,ACO.P1.B2.SECP1.030,0.0
2020-11-26T17:00:00Z,ACO.P1.C2.EO100.022,8.714
2020-11-27T17:00:00Z,ACO.P1.C2.EO100.022,0.0
2020-11-28T17:00:00Z,ACO.P1.C2.EO100.022,0.0
2020-11-29T17:00:00Z,ACO.P1.C2.EO100.022,10.345
2020-11-30T17:00:00Z,ACO.P1.C2.EO100.022,10.115
2020-12-01T17:00:00Z,ACO.P1.C2.EO100.022,9.767
2020-12-02T17:00:00Z,ACO.P1.C2.EO100.022,7.23
2020-12-03T17:00:00Z,ACO.P1.C2.EO100.022,0.88
2020-11-26T17:00:00Z,ACO.P1.C2.GAEO1.001,10.21
2020-11-27T17:00:00Z,ACO.P1.C2.GAEO1.001,7.292
2020-11-29T17:00:00Z,ACO.P1.C2.GAEO1.001,12.104
2020-11-30T17:00:00Z,ACO.P1.C2.GAEO1.001,12.281
2020-12-01T17:00:00Z,ACO.P1.C2.GAEO1.001,12.229
2020-12-02T17:00:00Z,ACO.P1.C2.GAEO1.001,11.911
2020-12-03T17:00:00Z,ACO.P1.C2.GAEO1.001,1.815
2020-11-26T17:00:00Z,ACO.P1.C2.GAEO1.006,8.037
2020-11-29T17:00:00Z,ACO.P1.C2.GAEO1.006,14.96
2020-11-30T17:00:00Z,ACO.P1.C2.GAEO1.006,16.148
2020-12-01T17:00:00Z,ACO.P1.C2.GAEO1.006,7.444
2020-12-02T17:00:00Z,ACO.P1.C2.GAEO1.006,6.338
2020-12-03T17:00:00Z,ACO.P1.C2.GAEO1.006,0.183
2020-11-26T17:00:00Z,ACO.P1.C2.GAEO1.007,15.1
2020-11-27T17:00:00Z,ACO.P1.C2.GAEO1.007,23.683
2020-11-28T17:00:00Z,ACO.P1.C2.GAEO1.007,23.997
2020-11-29T17:00:00Z,ACO.P1.C2.GAEO1.007,23.943
2020-11-30T17:00:00Z,ACO.P1.C2.GAEO1.007,23.894
2020-12-01T17:00:00Z,ACO.P1.C2.GAEO1.007,23.936
2020-12-02T17:00:00Z,ACO.P1.C2.GAEO1.007,23.942
2020-12-03T17:00:00Z,ACO.P1.C2.GAEO1.007,8.002
2020-11-26T17:00:00Z,ACO.P1.C2.HC000.002,9.108
2020-11-27T17:00:00Z,ACO.P1.C2.HC000.002,0.0
2020-11-28T17:00:00Z,ACO.P1.C2.HC000.002,0.0
2020-11-29T17:00:00Z,ACO.P1.C2.HC000.002,10.335
2020-11-30T17:00:00Z,ACO.P1.C2.HC000.002,10.439
2020-12-01T17:00:00Z,ACO.P1.C2.HC000.002,10.45
2020-12-02T17:00:00Z,ACO.P1.C2.HC000.002,10.219
2020-12-03T17:00:00Z,ACO.P1.C2.HC000.002,1.797
2020-11-26T17:00:00Z,ACO.P1.C2.HC000.003,9.106
2020-11-27T17:00:00Z,ACO.P1.C2.HC000.003,0.0
2020-11-28T17:00:00Z,ACO.P1.C2.HC000.003,0.0
2020-11-29T17:00:00Z,ACO.P1.C2.HC000.003,8.031
2020-11-30T17:00:00Z,ACO.P1.C2.HC000.003,4.536
2020-12-01T17:00:00Z,ACO.P1.C2.HC000.003,7.293
2020-12-02T17:00:00Z,ACO.P1.C2.HC000.003,6.149
2020-12-03T17:00:00Z,ACO.P1.C2.HC000.003,1.577
2020-11-26T17:00:00Z,ACO.P1.C2.IT000.008,12.233
2020-11-27T17:00:00Z,ACO.P1.C2.IT000.008,15.174
2020-11-28T17:00:00Z,ACO.P1.C2.IT000.008,12.184
2020-11-29T17:00:00Z,ACO.P1.C2.IT000.008,11.655
2020-11-30T17:00:00Z,ACO.P1.C2.IT000.008,16.725
2020-12-01T17:00:00Z,ACO.P1.C2.IT000.008,16.871
2020-12-02T17:00:00Z,ACO.P1.C2.IT000.008,7.782
2020-12-03T17:00:00Z,ACO.P1.C2.IT000.008,1.689
2020-11-26T17:00:00Z,ACO.P1.C2.IT000.009,15.975
2020-11-27T17:00:00Z,ACO.P1.C2.IT000.009,23.999
2020-11-28T17:00:00Z,ACO.P1.C2.IT000.009,23.997
2020-11-29T17:00:00Z,ACO.P1.C2.IT000.009,23.997
2020-11-30T17:00:00Z,ACO.P1.C2.IT000.009,23.999
2020-12-01T17:00:00Z,ACO.P1.C2.IT000.009,23.995
2020-12-02T17:00:00Z,ACO.P1.C2.IT000.009,23.845
2020-12-03T17:00:00Z,ACO.P1.C2.IT000.009,8.005
2020-11-26T17:00:00Z,ACO.P1.C2.IT000.010,8.008
2020-11-29T17:00:00Z,ACO.P1.C2.IT000.010,5.575
2020-11-30T17:00:00Z,ACO.P1.C2.IT000.010,9.676
2020-12-01T17:00:00Z,ACO.P1.C2.IT000.010,8.0
2020-12-02T17:00:00Z,ACO.P1.C2.IT000.010,8.515
2020-12-03T17:00:00Z,ACO.P1.C2.IT000.010,0.245
2020-11-26T17:00:00Z,ACO.P1.C2.IT000.011,6.661
2020-11-27T17:00:00Z,ACO.P1.C2.IT000.011,0.0
2020-11-28T17:00:00Z,ACO.P1.C2.IT000.011,0.0
2020-11-29T17:00:00Z,ACO.P1.C2.IT000.011,17.521
2020-11-30T17:00:00Z,ACO.P1.C2.IT000.011,16.592
2020-12-01T17:00:00Z,ACO.P1.C2.IT000.011,7.018
2020-12-02T17:00:00Z,ACO.P1.C2.IT000.011,9.939
2020-12-03T17:00:00Z,ACO.P1.C2.IT000.011,0.0
2020-11-26T17:00:00Z,ACO.P1.C2.IT000.012,15.988
2020-11-27T17:00:00Z,ACO.P1.C2.IT000.012,23.997
2020-11-28T17:00:00Z,ACO.P1.C2.IT000.012,23.998
2020-11-29T17:00:00Z,ACO.P1.C2.IT000.012,23.992
2020-11-30T17:00:00Z,ACO.P1.C2.IT000.012,17.796
2020-12-01T17:00:00Z,ACO.P1.C2.IT000.012,8.565
2020-12-02T17:00:00Z,ACO.P1.C2.IT000.012,10.858
2020-12-03T17:00:00Z,ACO.P1.C2.IT000.012,0.0
2020-11-26T17:00:00Z,ACO.P1.C2.IT000.017,10.287
2020-11-27T17:00:00Z,ACO.P1.C2.IT000.017,0.0
2020-11-28T17:00:00Z,ACO.P1.C2.IT000.017,0.0
2020-11-29T17:00:00Z,ACO.P1.C2.IT000.017,6.569
2020-11-30T17:00:00Z,ACO.P1.C2.IT000.017,12.296
2020-12-01T17:00:00Z,ACO.P1.C2.IT000.017,10.714
2020-12-02T17:00:00Z,ACO.P1.C2.IT000.017,1.238
2020-12-03T17:00:00Z,ACO.P1.C2.IT000.017,0.527
2020-11-26T17:00:00Z,ACO.P1.H1.FPR00.010,7.82
2020-11-27T17:00:00Z,ACO.P1.H1.FPR00.010,0.0
2020-11-28T17:00:00Z,ACO.P1.H1.FPR00.010,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.FPR00.010,9.555
2020-11-30T17:00:00Z,ACO.P1.H1.FPR00.010,15.701
2020-12-01T17:00:00Z,ACO.P1.H1.FPR00.010,9.777
2020-12-02T17:00:00Z,ACO.P1.H1.FPR00.010,14.392
2020-12-03T17:00:00Z,ACO.P1.H1.FPR00.010,1.794
2020-11-27T17:00:00Z,ACO.P1.H1.FPR00.011,0.0
2020-11-28T17:00:00Z,ACO.P1.H1.FPR00.011,8.867
2020-11-29T17:00:00Z,ACO.P1.H1.FPR00.011,16.704
2020-11-30T17:00:00Z,ACO.P1.H1.FPR00.011,15.078
2020-12-01T17:00:00Z,ACO.P1.H1.FPR00.011,16.653
2020-12-02T17:00:00Z,ACO.P1.H1.FPR00.011,10.68
2020-12-03T17:00:00Z,ACO.P1.H1.FPR00.011,1.182
2020-11-26T17:00:00Z,ACO.P1.H1.FPR00.013,12.773
2020-11-27T17:00:00Z,ACO.P1.H1.FPR00.013,6.984
2020-11-28T17:00:00Z,ACO.P1.H1.FPR00.013,7.646
2020-11-29T17:00:00Z,ACO.P1.H1.FPR00.013,16.203
2020-11-30T17:00:00Z,ACO.P1.H1.FPR00.013,15.876
2020-12-01T17:00:00Z,ACO.P1.H1.FPR00.013,16.453
2020-12-02T17:00:00Z,ACO.P1.H1.FPR00.013,16.769
2020-12-03T17:00:00Z,ACO.P1.H1.FPR00.013,1.847
2020-11-26T17:00:00Z,ACO.P1.H1.GAE01.041,3.639
2020-11-27T17:00:00Z,ACO.P1.H1.GAE01.041,5.768
2020-11-28T17:00:00Z,ACO.P1.H1.GAE01.041,2.963
2020-11-29T17:00:00Z,ACO.P1.H1.GAE01.041,4.614
2020-11-30T17:00:00Z,ACO.P1.H1.GAE01.041,3.29
2020-12-01T17:00:00Z,ACO.P1.H1.GAE01.041,11.947
2020-12-02T17:00:00Z,ACO.P1.H1.GAE01.041,14.793
2020-12-03T17:00:00Z,ACO.P1.H1.GAE01.041,3.99
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.014,15.994
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.014,17.24
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.014,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.014,17.773
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.014,21.749
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.014,23.986
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.014,18.718
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.014,1.718
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.015,9.6
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.015,9.425
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.015,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.015,0.0
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.015,10.364
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.015,11.099
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.015,11.804
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.015,1.133
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.016,8.786
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.016,3.341
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.016,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.016,6.012
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.016,8.432
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.016,11.075
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.016,6.714
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.016,1.128
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.018,8.811
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.018,0.0
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.018,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.018,9.235
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.018,9.238
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.018,9.144
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.018,9.051
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.018,0.41
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.025,3.801
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.025,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.025,17.896
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.025,17.142
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.025,17.908
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.025,17.515
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.025,1.678
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.026,7.508
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.026,14.091
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.026,18.162
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.026,13.417
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.026,8.918
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.026,3.062
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.026,0.13
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.026,0.0
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.027,11.269
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.027,18.519
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.027,18.669
